order_date_full,order_year,order_month,product_category,total_orders,total_customers,state,total_revenue,total_revenue_usd,avg_order_value,avg_order_value_usd,cumulative_revenue_ytd_usd,mom_revenue_change_usd
2016-09-01,2016,09,furniture_decor,1,1,RR,272.46,76.29,272.46,76.29,76.29,
2016-09-01,2016,09,telephony,1,1,RS,75.06,21.02,75.06,21.02,21.02,
2016-10-01,2016,10,air_conditioning,1,1,MG,319.0,89.32,319.0,89.32,89.32,
2016-10-01,2016,10,air_conditioning,1,1,RS,802.6,224.73,802.6,224.73,224.73,
2016-10-01,2016,10,air_conditioning,1,1,SC,2707.68,758.15,2707.68,758.15,758.15,
2016-10-01,2016,10,air_conditioning,2,2,SP,846.15,236.92,423.07,118.46,236.92,
2016-10-01,2016,10,audio,1,1,RJ,147.08,41.18,147.08,41.18,41.18,
2016-10-01,2016,10,audio,1,1,SP,35.95,10.07,35.95,10.07,10.07,
2016-10-01,2016,10,auto,1,1,AL,76.6,21.45,76.6,21.45,21.45,
2016-10-01,2016,10,auto,1,1,CE,594.46,166.45,594.46,166.45,166.45,
2016-10-01,2016,10,auto,1,1,MG,66.03,18.49,66.03,18.49,18.49,
2016-10-01,2016,10,auto,1,1,MT,401.19,112.33,401.19,112.33,112.33,
2016-10-01,2016,10,auto,1,1,RJ,24.52,6.87,24.52,6.87,6.87,
2016-10-01,2016,10,auto,1,1,RN,194.85,54.56,194.85,54.56,54.56,
2016-10-01,2016,10,auto,1,1,RS,918.28,257.12,918.28,257.12,257.12,
2016-10-01,2016,10,auto,4,4,SP,440.77,123.42,110.19,30.85,123.42,
2016-10-01,2016,10,baby,2,2,MG,601.68,168.47,300.84,84.24,168.47,
2016-10-01,2016,10,baby,1,1,PR,217.68,60.95,217.68,60.95,60.95,
2016-10-01,2016,10,baby,3,3,RJ,655.47,183.53,218.49,61.18,183.53,
2016-10-01,2016,10,baby,5,5,SP,869.6,243.49,173.92,48.7,243.49,
2016-10-01,2016,10,bed_bath_table,1,1,MG,184.87,51.76,184.87,51.76,51.76,
